yyyy  mm  dd  HH MIN   SEC          u          v          w          T
2008   5   9   5   0 12.30    2.92223    0.84264    0.14360  288.07327
2008   5   9   5   0 12.40    2.74055    0.74216    0.15403  288.05629
2008   5   9   5   0 12.50    3.08959    0.93132    0.33239  288.22031
2008   5   9   5   0 12.60    2.73673    0.71489    0.10347  288.17333
2008   5   9   5   0 12.70    2.78420    0.79289    0.09076  288.27735
2008   5   9   5   0 12.80    2.72883    0.47110    0.14523  288.15837
2008   5   9   5   0 12.90    2.72361    0.46631    0.17307  288.13839
2008   5   9   5   0 13.00    2.71099    0.33470    0.22585  288.22941
2008   5   9   5   0 13.10    2.86197    0.43679   -0.14335  288.32543
2008   5   9   5   0 13.20    3.02315    0.55913   -0.11930  288.31245
2008   5   9   5   0 13.30    2.75860    0.54591    0.03072  288.28848
2008   5   9   5   0 13.40    2.76866    0.51120   -0.29821  288.40950
2008   5   9   5   0 13.50    2.90671    0.43958   -0.27843  288.44452
2008   5   9   5   0 13.60    2.98465    0.54861   -0.23051  288.44654
2008   5   9   5   0 13.70    3.00523    0.55340   -0.12223  288.42956
2008   5   9   5   0 13.80    3.02403    0.39582   -0.18827  288.34458
2008   5   9   5   0 13.90    2.82509    0.49573   -0.16822  288.35760
2008   5   9   5   0 14.00    2.89364    0.47893   -0.13637  288.30963
2008   5   9   5   0 14.10    2.79999    0.47251   -0.23259  288.30765
2008   5   9   5   0 14.20    2.76487    0.64864   -0.11817  288.30967
2008   5   9   5   0 14.30    2.67769    0.70259   -0.17926  288.26269
2008   5   9   5   0 14.40    2.74121    0.36156   -0.13493  288.30771
2008   5   9   5   0 14.50    2.78244    0.39382   -0.15567  288.30774
2008   5   9   5   0 14.60    2.87404    0.36780   -0.36930  288.30976
2008   5   9   5   0 14.70    2.92319    0.33997   -0.15863  288.30778
2008   5   9   5   0 14.80    2.80731    0.22455   -0.36827  288.24980
2008   5   9   5   0 14.90    2.82416    0.41492   -0.32662  288.22582
2008   5   9   5   0 15.00    2.95186    0.28715   -0.38809  288.22585
2008   5   9   5   0 15.10    2.79172    0.20581   -0.39754  288.27987
2008   5   9   5   0 15.20    2.90273    0.30298   -0.31757  288.26489
2008   5   9   5   0 15.30    2.81112    0.21318   -0.22848  288.26291
2008   5   9   5   0 15.40    2.74241    0.26218   -0.26624  288.27993
2008   5   9   5   0 15.50    2.66122    0.27713   -0.21604  288.26496
2008   5   9   5   0 15.60    2.56887    0.11272   -0.20679  288.26498
2008   5   9   5   0 15.70    2.53486    0.08940   -0.04405  288.21100
2008   5   9   5   0 15.80    2.54504    0.14831   -0.28508  288.29102
2008   5   9   5   0 15.90    2.42931    0.12091   -0.27426  288.28905
2008   5   9   5   0 16.00    2.58070    0.20055   -0.45524  288.21107
2008   5   9   5   0 16.10    2.35257    0.49576   -0.08274  288.24709
2008   5   9   5   0 16.20    2.31483    0.60108    0.08369  288.17811
2008   5   9   5   0 16.30    2.34868    0.62004    0.19483  288.10513
2008   5   9   5   0 16.40    2.33586    0.76247    0.33257  288.07415
2008   5   9   5   0 16.50    2.27945    0.55856   -0.03411  288.10718
2008   5   9   5   0 16.60    2.28046    0.26600    0.09330  288.12420
