           freq              Su              Sv              Sw
       0.578562        0.025121        0.036757        0.026864
       0.587949        0.024900        0.032932        0.026415
       0.597489        0.023131        0.028295        0.023877
       0.607183        0.021404        0.029716        0.024500
       0.617034        0.019721        0.027791        0.025746
       0.627045        0.020487        0.027955        0.023566
       0.637219        0.020514        0.031404        0.021619
       0.647557        0.022206        0.031044        0.022416
       0.658063        0.025725        0.027159        0.021535
       0.668740        0.027429        0.030237        0.022801
       0.679590        0.026358        0.030017        0.024659
       0.690616        0.026104        0.027703        0.025823
       0.701821        0.025197        0.025258        0.023752
       0.713208        0.023283        0.023460        0.023494
       0.724780        0.022024        0.020958        0.020365
       0.736539        0.020129        0.021321        0.017798
       0.748489        0.017930        0.024963        0.018117
       0.760633        0.016492        0.025028        0.019579
       0.772974        0.017239        0.025285        0.020112
       0.785515        0.018492        0.024988        0.021748
       0.798260        0.018922        0.022558        0.020617
       0.811211        0.018529        0.021828        0.018413
       0.824373        0.016601        0.020489        0.017490
       0.837748        0.014825        0.019700        0.014812
       0.851340        0.015219        0.018111        0.013905
       0.865153        0.015109        0.018058        0.012833
       0.879189        0.015591        0.019838        0.013399
       0.893454        0.015411        0.019340        0.014808
       0.907950        0.014471        0.020764        0.015039
       0.922681        0.015016        0.019824        0.014671
       0.937651        0.015050        0.019483        0.014704
       0.952864        0.015133        0.017546        0.013893
       0.968324        0.012563        0.014838        0.013588
       0.984034        0.011714        0.014133        0.012429
       1.000000        0.011400        0.014627        0.013279
       1.016225        0.012253        0.014734        0.014554
       1.032712        0.011873        0.013378        0.014405
       1.049468        0.011110        0.012978        0.013164
       1.066495        0.010702        0.013086        0.012161
       1.083798        0.011130        0.012635        0.011666
       1.101383        0.011114        0.012139        0.011316
       1.119252        0.011069        0.011819        0.010929
       1.137411        0.011103        0.011726        0.010463
       1.155865        0.011162        0.011530        0.009897
       1.174619        0.010509        0.010897        0.009849
       1.193677        0.009332        0.011403        0.009495
       1.213044        0.008702        0.011279        0.009356
       1.232725        0.007971        0.012401        0.009369
       1.252725        0.007371        0.012957        0.009859
       1.273050        0.007639        0.011872        0.009247
       1.293705        0.008222        0.010028        0.010001
       1.314695        0.007811        0.009239        0.010546
       1.336025        0.008354        0.009581        0.010195
       1.357702        0.008987        0.010894        0.008920
       1.379730        0.008201        0.010511        0.007647
       1.402115        0.006875        0.009574        0.007264
       1.424864        0.006256        0.009703        0.008247
       1.447982        0.005787        0.009161        0.009207
       1.471475        0.005642        0.008024        0.008177
       1.495349        0.005779        0.007749        0.006748
       1.519610        0.005513        0.007645        0.007332
       1.544265        0.005566        0.008155        0.007795
       1.569320        0.006174        0.009266        0.007870
       1.594782        0.006270        0.009374        0.007824
       1.620657        0.005131        0.007647        0.006797
       1.646951        0.004600        0.006132        0.005192
       1.673672        0.005055        0.008004        0.005076
       1.700827        0.005505        0.008511        0.006145
       1.728422        0.005434        0.006419        0.006538
       1.756465        0.004952        0.005970        0.006756
       1.784963        0.005483        0.005957        0.006628
       1.813923        0.004794        0.005337        0.005427
       1.843353        0.004564        0.005172        0.005526
       1.873261        0.004516        0.005354        0.006334
       1.903654        0.004315        0.005452        0.004790
       1.934540        0.004396        0.005708        0.004952
       1.965927        0.003755        0.005486        0.005328
       1.997823        0.003575        0.005674        0.005023
       2.030237        0.003566        0.005759        0.004340
       2.063177        0.003361        0.004285        0.005128
       2.096651        0.003667        0.004351        0.005172
       2.130669        0.003230        0.004655        0.004183
       2.165238        0.002992        0.004871        0.005165
       2.200368        0.003300        0.004647        0.004835
       2.236068        0.003523        0.005100        0.003874
       2.272347        0.003460        0.005557        0.004156
       2.309215        0.003247        0.004219        0.004309
       2.346681        0.002641        0.003509        0.003794
       2.384755        0.002769        0.003352        0.004192
       2.423447        0.003250        0.004257        0.004529
       2.462766        0.002941        0.004647        0.004286
       2.502724        0.002953        0.004040        0.003224
       2.543329        0.002790        0.004204        0.003070
       2.584594        0.002695        0.003327        0.003048
       2.626528        0.002243        0.003570        0.003384
       2.669142        0.002336        0.003440        0.003372
       2.712448        0.002195        0.004120        0.003270
       2.756456        0.002458        0.003311        0.003059
       2.801179        0.002404        0.003399        0.003225
       2.846627        0.002341        0.003104        0.003031
       2.892812        0.002299        0.002879        0.003041
